"id","name","created_at","updated_at"
300,Mugoiri Farmers Cooperative,2019-11-06 16:44:48.810,2019-11-06 16:44:48.810
2,Horizon Ethio Agri Ceft,2018-01-31 23:59:10.206,2018-01-31 23:59:10.206
3,Kanzu,2018-01-31 23:59:10.206,2018-01-31 23:59:10.206
5,Fudam,2018-01-31 23:59:10.206,2018-01-31 23:59:10.206
6,Sor Geba Farmers Cooperative Union,2018-01-31 23:59:10.206,2018-01-31 23:59:10.206
7,Metad,2018-01-31 23:59:10.206,2018-01-31 23:59:10.206
8,Gigessa,2018-01-31 23:59:10.206,2018-01-31 23:59:10.206
9,Idido Coop,2018-01-31 23:59:10.206,2018-01-31 23:59:10.206
10,Gathaithi Farmers Coop,2018-01-31 23:59:10.206,2018-01-31 23:59:10.206
11,Banko Gotiti Cooperative,2018-01-31 23:59:10.206,2018-01-31 23:59:10.206
12,Unknown,2018-02-01 00:00:09.553,2018-02-01 00:00:09.553
13,Northern Peruvian Coffee,2018-05-22 16:29:09.224,2018-05-22 16:29:09.224
14,Mugaga FCS,2018-05-23 12:31:35.277,2018-05-23 12:31:35.277
15,Asopalmares Cooperative,2018-05-23 13:58:45.496,2018-05-23 13:58:45.496
16,Edido,2018-05-25 16:39:12.622,2018-05-25 16:39:12.622
17,Alliance for Coffee Excellence,2018-07-25 20:13:37.549,2018-07-25 20:13:37.549
18,Mercanta,2018-08-01 20:35:44.171,2018-08-01 20:35:44.171
19,Othaya Farmers,2018-08-06 21:36:41.446,2018-08-06 21:36:41.446
20,Asemprogrope,2018-08-06 23:29:25.711,2018-08-06 23:29:25.711
21,Layo Teraga,2018-08-07 00:02:07.001,2018-08-07 00:02:07.001
22,Murue Farmer Cooperative Society,2018-08-09 00:20:49.641,2018-08-09 00:20:49.641
23,Occicafe,2018-08-13 01:45:02.243,2018-08-13 01:45:02.243
24,Wachuri Farmer's Coop,2018-08-13 16:33:22.078,2018-08-13 16:33:22.078
25,CESMACH Cooperative,2018-08-17 17:01:36.642,2018-08-17 17:01:36.642
27,Adiesto,2018-08-22 17:57:20.073,2018-08-22 17:57:20.073
28,Sidama Coffee Farmers Cooperative Union ,2018-08-27 23:43:52.245,2018-08-27 23:43:52.245
29,Yukro Cooperative ,2018-08-28 15:40:36.518,2018-08-28 15:40:36.518
30,Mzuzu Cooperative ,2018-08-28 18:53:26.135,2018-08-28 18:53:26.135
31,Gikanda Cooperative ,2018-08-30 19:08:22.000,2018-08-30 19:08:22.000
32,Karithathi Farmers Cooperative,2018-08-30 19:13:05.937,2018-08-30 19:13:05.937
33,Gachatha Farmers Cooperative ,2018-08-30 19:18:34.003,2018-08-30 19:18:34.003
34,New Gikaru Cooperative Society ,2018-09-04 15:06:33.664,2018-09-04 15:06:33.664
35,Barichu Farmers' Cooperative,2018-09-06 14:31:13.886,2018-09-06 14:31:13.886
36,Cinco de Junio cooperative,2018-09-15 00:37:36.433,2018-09-15 00:37:36.433
37,La Voz,2018-09-15 17:00:30.453,2018-09-15 17:00:30.453
38,La Asociación Integral Unidos Para Vivir Mejor (ASUVIM),2018-09-15 18:07:34.499,2018-09-15 18:07:34.499
