"id","name","created_at","updated_at"
1,UCFU,2017-11-15 02:21:43.000,2017-11-15 02:21:43.000
2,San Pedro Yosotatu,2017-11-15 02:44:45.857,2017-11-15 02:44:45.857
3,Santos Tuyuc,2017-11-15 02:52:32.440,2017-11-15 02:52:32.440
4,La Pradera,2017-11-15 20:57:19.340,2017-11-15 20:57:19.340
5,Fram Farm,2017-11-15 21:54:52.110,2017-11-15 21:54:52.110
6,Hacienda Real,2017-11-15 22:03:09.510,2017-11-15 22:03:09.510
7,San Vicente,2017-11-15 22:30:14.081,2017-11-15 22:30:14.081
8,La Esperanza,2017-11-15 22:33:34.330,2017-11-15 22:33:34.330
9,La Sierra Mixteca,2017-11-15 22:37:51.562,2017-11-15 22:37:51.562
10,Unknown,2017-11-15 22:57:58.709,2017-11-15 22:57:58.709
11,Celinga Station,2017-11-16 23:30:36.649,2017-11-16 23:30:36.649
12,Various smallholder farms,2017-11-16 23:38:04.021,2017-11-16 23:38:04.021
13,La Lia,2017-11-16 23:43:34.382,2017-11-16 23:43:34.382
14,San Jose,2017-11-17 01:51:55.871,2017-11-17 01:51:55.871
15,Fazenda Serrado,2017-11-23 00:16:51.621,2017-11-23 00:16:51.621
16,La Bendicion Esperanza,2017-11-23 00:30:19.105,2017-11-23 00:30:19.105
17,Vista Al Bosque,2017-11-23 18:35:31.424,2017-11-23 18:35:31.424
18,Finca Chely,2017-11-23 18:44:10.797,2017-11-23 18:44:10.797
19,Ayehu,2017-11-25 20:23:24.936,2017-11-25 20:23:24.936
20,Hacienda Sonora,2017-11-25 21:49:09.392,2017-11-25 21:49:09.392
21,Los Arroyos,2017-11-30 23:36:13.210,2017-11-30 23:36:13.210
22,Mormora,2017-11-30 23:43:03.091,2017-11-30 23:43:03.091
23,Llano Bonito de Naranjo,2017-12-01 01:23:29.837,2017-12-01 01:23:29.837
24,La Guamera,2017-12-01 02:24:24.533,2017-12-01 02:24:24.533
25,Santo Antonio,2017-12-02 00:06:11.040,2017-12-02 00:06:11.040
26,Finca San Luis,2017-12-17 14:04:53.585,2017-12-17 14:04:53.585
27,La Bastilla,2017-12-23 01:29:20.204,2017-12-23 01:29:20.204
28,Nefas Farm,2017-12-23 01:59:09.832,2017-12-23 01:59:09.832
29,Hambela,2017-12-23 02:33:26.129,2017-12-23 02:33:26.129
30,La Colmena,2017-12-23 02:40:43.667,2017-12-23 02:40:43.667
31,La Bendicion,2017-12-23 02:51:41.861,2017-12-23 02:51:41.861
32,La Candelilla,2017-12-31 17:44:52.745,2017-12-31 17:44:52.745
33,Finca Santa Lucia,2017-12-31 19:19:42.497,2017-12-31 19:19:42.497
34,Bella Vista,2017-12-31 19:28:14.813,2017-12-31 19:28:14.813
35,Windrush Estate,2017-12-31 19:35:01.236,2017-12-31 19:35:01.236
36,Limoncillo,2017-12-31 19:42:25.152,2017-12-31 19:42:25.152
37,El Llano,2017-12-31 19:47:39.809,2017-12-31 19:47:39.809
38,Dabesa,2017-12-31 19:52:40.288,2017-12-31 19:52:40.288
39,Gathaithi,2017-12-31 19:56:38.650,2017-12-31 19:56:38.650
40,Don Rodrigo,2017-12-31 20:01:49.578,2017-12-31 20:01:49.578
41,El Diamante,2017-12-31 20:08:13.867,2017-12-31 20:08:13.867
42,El Quizarrá,2017-12-31 20:10:51.774,2017-12-31 20:10:51.774
43,Sumava de Lourdes,2017-12-31 20:21:44.230,2017-12-31 20:21:44.230
44,Finca La Bella,2018-01-01 23:32:01.882,2018-01-01 23:32:01.882
45,Finca Nueva Armenia,2018-01-04 21:57:25.891,2018-01-04 21:57:25.891
46,Finca La Maravilla,2018-01-09 02:57:01.217,2018-01-09 02:57:01.217
47,Kayon Mountain Farm,2018-01-09 03:57:37.221,2018-01-09 03:57:37.221
48,Fazenda Cachoeira da Grama,2018-05-23 14:10:17.251,2018-05-23 14:10:17.251
49,La Mancha,2018-05-26 00:52:23.988,2018-05-26 00:52:23.988
50,Fazenda Daterra,2018-05-26 01:13:14.360,2018-05-26 01:13:14.360
51,El Obraje,2018-05-26 13:08:52.366,2018-05-26 13:08:52.366
52,Fazenda Vereda,2018-07-25 18:26:20.825,2018-07-25 18:26:20.825
53,Ana Sora,2018-07-25 19:50:50.911,2018-07-25 19:50:50.911
54,Las Cruces,2018-07-25 20:05:38.077,2018-07-25 20:05:38.077
55,Monte Verde,2018-07-30 17:40:41.086,2018-07-30 17:40:41.086
56,Las Palmas,2018-07-30 18:01:53.736,2018-07-30 18:01:53.736
57,Tarime,2018-07-30 18:43:21.018,2018-07-30 18:43:21.018
58,Fazenda Catuai,2018-08-01 20:36:40.633,2018-08-01 20:36:40.633
59,Fairview,2018-08-06 21:32:37.392,2018-08-06 21:32:37.392
60,El Encinal ,2018-08-06 23:35:48.873,2018-08-06 23:35:48.873
61,Sitio Serra,2018-08-06 23:37:23.425,2018-08-06 23:37:23.425
62,Rio Brilhante,2018-08-09 00:12:54.623,2018-08-09 00:51:58.602
64,Finca Ayutepeque,2018-08-15 17:45:02.971,2018-08-15 17:45:02.971
65,Fazenda Condado,2018-08-15 18:03:47.743,2018-08-15 18:03:47.743
66,Cerro San Micromill,2018-08-17 15:30:48.484,2018-08-17 15:30:48.484
67,Cerro San Luis Micromill,2018-08-17 15:31:01.741,2018-08-17 15:31:01.741
68,Fazenda Primavera,2018-08-17 15:41:38.360,2018-08-17 15:41:38.360
69,Los Delirios,2018-08-20 15:52:34.344,2018-08-20 15:52:34.344
70,Eaagads Estate,2018-08-21 16:12:22.424,2018-08-21 16:12:22.424
71,San Ramon,2018-08-21 17:10:54.782,2018-08-21 17:10:54.782
72,Girma Eshetu Estate,2018-08-21 17:15:52.811,2018-08-21 17:15:52.811
